[OPTIONAL METADATA]

Chromatogram Data:
Time (min)	Step (s)	Value (pA)
0.001667	n.a.	6.674188
0.003333	0.1	6.673693
0.005000	0.1	6.675890
0.006667	0.1	6.675296
0.008333	0.1	6.674119
0.010000	0.1	6.676224
0.011667	0.1	6.673347
0.013333	0.1	6.673734
0.015000	0.1	6.672981
0.016667	0.1	6.670705
0.018333	0.1	6.670446
0.020000	0.1	6.669084
0.021667	0.1	6.668493
0.023333	0.1	6.672070
0.025000	0.1	6.674783
0.026667	0.1	6.681016
0.028333	0.1	6.683340
0.030000	0.1	6.689213
0.031667	0.1	6.692448
0.033333	0.1	6.694921
0.035000	0.1	6.696835
0.036667	0.1	6.697444
0.038333	0.1	6.702704
0.040000	0.1	6.705878
0.041667	0.1	6.708210
0.043333	0.1	6.707583
0.045000	0.1	6.706883
0.046667	0.1	6.705945
0.048333	0.1	6.704684
0.050000	0.1	6.704811
0.051667	0.1	6.704886
0.053333	0.1	6.707186
0.055000	0.1	6.710322
0.056667	0.1	6.710546
0.058333	0.1	6.710705
0.060000	0.1	6.709641
0.061667	0.1	6.712003
0.063333	0.1	6.714336
0.065000	0.1	6.717093
0.066667	0.1	6.716740
0.068333	0.1	6.715858
0.070000	0.1	6.718822
0.071667	0.1	6.715615
0.073333	0.1	6.715940
0.075000	0.1	6.713993
0.076667	0.1	6.714782
0.078333	0.1	6.716002
0.080000	0.1	6.716577
0.081667	0.1	6.715192
0.083333	0.1	6.707897
0.085000	0.1	6.706291
0.086667	0.1	6.705181
0.088333	0.1	6.700370
0.090000	0.1	6.701345
0.091667	0.1	6.701753
0.093333	0.1	6.701182
0.095000	0.1	6.696947
0.096667	0.1	6.696775
0.098333	0.1	6.695870
0.100000	0.1	6.694632
0.101667	0.1	6.695652
0.103333	0.1	6.693619
0.105000	0.1	6.692729
0.106667	0.1	6.692919
0.108333	0.1	6.690691
0.110000	0.1	6.687674
0.111667	0.1	6.685162
0.113333	0.1	6.687826
0.115000	0.1	6.688647
0.116667	0.1	6.688538
0.118333	0.1	6.686906
0.120000	0.1	6.686776
0.121667	0.1	6.683285
0.123333	0.1	6.678756
0.125000	0.1	6.673684
0.126667	0.1	6.672596
0.128333	0.1	6.669766
0.130000	0.1	6.669697
0.131667	0.1	6.670550
0.133333	0.1	6.670955
0.135000	0.1	6.672482
0.136667	0.1	6.675158
0.138333	0.1	6.675499
0.140000	0.1	6.675980
0.141667	0.1	6.673043
0.143333	0.1	6.670935
0.145000	0.1	6.666761
0.146667	0.1	6.665440
0.148333	0.1	6.662139
0.150000	0.1	6.660012
0.151667	0.1	6.656868
0.153333	0.1	6.659134
0.155000	0.1	6.658711
0.156667	0.1	6.658245
0.158333	0.1	6.655572
0.160000	0.1	6.654633
0.161667	0.1	6.654777
0.163333	0.1	6.655538
0.165000	0.1	6.652400
0.166667	0.1	6.652699
0.168333	0.1	6.651468
0.170000	0.1	6.654116
0.171667	0.1	6.652009
0.173333	0.1	6.650698
0.175000	0.1	6.649423
0.176667	0.1	6.648313
0.178333	0.1	6.651393
0.180000	0.1	6.652206
0.181667	0.1	6.652665
0.183333	0.1	6.653361
0.185000	0.1	6.653049
0.186667	0.1	6.655633
0.188333	0.1	6.653955
0.190000	0.1	6.654293
0.191667	0.1	6.654470
0.193333	0.1	6.652357
0.195000	0.1	6.654003
0.196667	0.1	6.651619
0.198333	0.1	6.650851
0.200000	0.1	6.650299
0.201667	0.1	6.650891
0.203333	0.1	6.653598
0.205000	0.1	6.654945
0.206667	0.1	6.656486
0.208333	0.1	6.657083
0.210000	0.1	6.656433
0.211667	0.1	6.655053
0.213333	0.1	6.652733
0.215000	0.1	6.651093
0.216667	0.1	6.652182
